							
							
							
Остатки ТМЦ на складах							
На дату: 18.03.20							
По всем фирмам. По всем юр. лицам. По всем упр. аналитикам. По всем номенклатурным позициям. По всем складам.							
ТМЦ		Ед.	"Отпускная цена
(руб.)"	МР МАГАЗИН		ПП99 Магазин	
				Кол - во	Сумма	Кол - во	Сумма
Клей КМЦ  150г		шт	30.00	 	 	18.000	540.00
Клей Метилан Винил Премиум 150г		шт	120.00	 	 	3.000	360.00
Клей Метилан Универс. Премиум 250г		шт	150.00	 	 	3.000	450.00
Клей Метилан Флизелин Премиум 250г		шт	226.00	 	 	1.000	226.00
Клей Момент Винил 250г		шт	136.00	 	 	2.000	272.00
Клей ПВА  0,55кг строит.-универс. ОПТИЛЮКС (И)		шт	60.00	 	 	9.000	540.00
Клей ПВА  1 кг строит.-универс. ОПТИЛЮКС (И)		шт	70.00	 	 	5.000	350.00
Клей ПВА Люкс мебельн. 0,9кг (Лакра)		шт	105.00	 	 	1.000	105.00
Клей ПВА Люкс мебельн. 2,3кг (Лакра)		шт	290.00	 	 	6.000	1'740.00
Клей ПВА-М  универс. Экстра  250г (Лакра)		шт	45.00	 	 	8.000	360.00
Клей Спрут  50мл шоу-бокс (НБХ)		шт	30.00	 	 	2.000	60.00
Клей Спрут  50мл шоу-бокс (НБХ)		шт	35.00	 	 	10.000	350.00
Клей строительный КС  1,5кг ОПТИМАКС / ОПТИЛЮКС (И)		шт	65.00	 	 	2.000	130.00
Клей Титан 0,25л водо-морозост.		шт	60.00	 	 	3.000	180.00
Клей Титан 0,5л водо-морозост.		шт	95.00	 	 	2.000	190.00
Клей Титан 1л водо-морозост.		шт	150.00	 	 	2.000	300.00
Клей ЭДП  160г (К-Ш)		шт	95.00	 	 	4.000	380.00
Клей ЭДП  280г (К-Ш)		шт	160.00	 	 	5.000	800.00
Клинья д/кафеля 30*6*6мм  по 100шт.  (888)  3980706		шт	25.00	 	 	5.000	125.00
Ключи имбусовые  Н-р 9шт Профи (1,5-10мм)   с шаром, хромованад.сталь,(888)  6806050		шт	303.00	 	 	1.000	303.00
Краска Бронзовая  0,5л (НБХ)		шт	130.00	 	 	1.000	130.00
Краска Золотистая  0,5л (НБХ)		шт	220.00	 	 	1.000	220.00
Краска Серебрянка  0,5л (НБХ)		шт	115.00	 	 	2.000	230.00
Краска Серебрянка  0,5л (НБХ)		шт	130.00	 	 	2.000	260.00
Крестики д/кафеля 1,5мм  по 200шт.  (888)  3980715		шт	15.00	 	 	1.000	15.00
Крестики д/кафеля 2,0мм  по 200шт.  (888)  3980720		шт	15.00	 	 	3.000	45.00
Крестики д/кафеля 2,5мм  100шт  Т4Р (Лакра) 2707025		шт	20.00	 	 	1.000	20.00
Ксилол (растворитель д/автоэмалей,эмалей,лаков)  0,5л (НБХ)/24		шт	85.00	 	 	1.000	85.00
Ксилол (растворитель д/автоэмалей,эмалей,лаков)  0,5л (НБХ)/24		шт	90.00	 	 	3.000	270.00
Лак  Груша   0,5л (НБХ)/24		шт	110.00	 	 	1.000	110.00
Лак  Груша   0,5л (НБХ)/24		шт	120.00	 	 	1.000	120.00
Лак  Дуб   0,5л (НБХ)/24		шт	110.00	 	 	2.000	220.00
Лак  Клен  0,5л (НБХ)/24		шт	120.00	 	 	1.000	120.00
Лак  Красное дерево  0,5л (НБХ)/24		шт	110.00	 	 	2.000	220.00
Лак  Лимон  0,5л (НБХ)/24		шт	110.00	 	 	2.000	220.00
Лак  Палисандр   0,5л (НБХ)/24		шт	110.00	 	 	1.000	110.00
Лак  Слива   0,5л (НБХ)/24		шт	120.00	 	 	1.000	120.00
Лак  Сосна   0,5л (НБХ)/24		шт	120.00	 	 	5.000	600.00
Лак  Эбеновое дерево 0,5л (НБХ)/24		шт	110.00	 	 	2.000	220.00
Лак  Янтарь  0,5л (НБХ)/24		шт	110.00	 	 	1.000	110.00
Лак в/д KRONA Аквалак бесцветн. 0,9л		шт	175.00	 	 	2.000	350.00
Лак в/д KRONA Аквалак бесцветн. 0,9л		шт	185.00	 	 	6.000	1'110.00
Лак в/д KRONA Аквалак бесцветн. 3л		шт	505.00	 	 	2.000	1'010.00
Лак в/д KRONA Аквалак летний дуб 0,9л		шт	185.00	 	 	1.000	185.00
Лак в/д KRONA Аквалак орех.дерево 0,9л		шт	185.00	 	 	1.000	185.00
Лак в/д KRONA Аквалак палисандр шоколад 0,9л		шт	173.00	 	 	1.000	173.00
Лак в/д KRONA Аквалак сосновый лес 0,9л		шт	175.00	 	 	1.000	175.00
Лак Коллекция д/стен устойч.к загрязн. 0,9кг Акция (И)		шт	110.00	 	 	2.000	220.00
Лак НЦ-218 мебел.гл. 0,7кг (Лакра)		шт	165.00	 	 	2.000	330.00
Лак НЦ-243 мебел. 0,7кг (Лакра)		шт	160.00	 	 	2.000	320.00
Лак паркетный акрил. в/д KRONA бесцветн. 2л		шт	463.00	 	 	2.000	926.00
Лак паркетный глянц.бесцвет. АУ-271 РАДУГА  0,9л		шт	180.00	 	 	1.000	180.00
Лак паркетный глянц.бесцвет. АУ-271 РАДУГА  1,9л		шт	330.00	 	 	1.000	330.00
Лак паркетный матов.бесцвет. РАДУГА  0,9л		шт	195.00	 	 	2.000	390.00
Лак паркетный матов.бесцвет. РАДУГА  1,9л		шт	365.00	 	 	1.000	365.00
Лак ПФ-157 гл.бесцвет. РАДУГА  1,9л		шт	280.00	 	 	1.000	280.00
Лак ПФ-283 гл.бесцвет. РАДУГА  1,9л		шт	270.00	 	 	2.000	540.00
Лак Цапон  0,5л (НБХ)/24		шт	110.00	 	 	4.000	440.00
Лак яхтный глянц.бесцвет. АУ-271 РАДУГА  0,9л		шт	210.00	 	 	2.000	420.00
Лак яхтный глянц.бесцвет. АУ-271 РАДУГА  1,9л		шт	365.00	 	 	1.000	365.00
Лак яхтный матов.бесцвет. АУ-271 РАДУГА  0,9л		шт	220.00	 	 	2.000	440.00
Лак яхтный матов.бесцвет. АУ-271 РАДУГА  0,9л		шт	240.00	 	 	2.000	480.00
Лак яхтный матов.бесцвет. АУ-271 РАДУГА  1,9л		шт	390.00	 	 	1.000	390.00
Лезвия к ножам д/ковр.покр. Трапецивидное (уп10шт)  толщ.0,5мм (888)  3062005		шт	50.00	 	 	2.000	100.00
Лезвия отламыв. 25мм  (уп10шт)  толщ.0,7мм,  сегмент 14мм, сталь SK4 (888)  3068530		шт	110.00	 	 	1.000	110.00
Лезвия отламывающ. 18мм 10шт. Т4Р (Лакра) 2702001		шт	25.00	 	 	13.000	325.00
Лента малярная 19мм*30м Klebebander KNK 015T /96/24		шт	22.00	 	 	6.000	132.00
Лента малярная 25*50 d.m.25,  Альянс  0155  (А254)		шт	34.00	 	 	12.000	408.00
Лента малярная 38*30 d.m.14,  Альянс 0106  (А217)		шт	32.00	 	 	1.000	32.00
Лента малярная 38*50 d.m.25,  Альянс  0155 (А313)		шт	57.00	 	 	1.000	57.00
Лента малярная 50*50 d.m.25,  Альянс  0155 (А241)		шт	73.00	 	 	4.000	292.00
Линейка стальная нерж. ПРОФИ  30см (888)  3015230		шт	57.00	 	 	4.000	228.00
Магнитные крючки  Набор 2шт  / нерж.сталь нагрузка до 3кг (888)  9300011		шт	75.00	 	 	2.000	150.00
Магнитный браслет  / нейлон.ремешок, застежка-липучка  (888)  9300053		шт	95.00	 	 	2.000	190.00
Магнитный держатель д/кисти   нерж.сталь  (888)  9300068		шт	95.00	 	 	2.000	190.00
Маска защитная РЕСПИРАТОР  РПГ-67  тип А (2 фильтра)  (888)  5050750		шт	318.00	 	 	1.000	318.00
Маска защитная РЕСПИРАТОР  РПГ-67  тип В (2 фильтра)  (888)  5050755		шт	318.00	 	 	1.000	318.00
Маска-щиток защитный в сборе (прозр.щиток р-р 39*20см +регулир.козырек)  (888)   5074		шт	250.00	 	 	1.000	250.00
Мастика Титан  1,8кг ОПТИМАКС / ОПТИЛЮКС (И)		шт	90.00	 	 	2.000	180.00
Мастика Титан  4кг ОПТИМАКС / ОПТИЛЮКС (И)		шт	195.00	 	 	2.000	390.00
Мел  2кг  (В) уп.10шт		шт	30.00	 	 	6.000	180.00
Мешок полипропиленовый  ЗЕЛЕНЫЙ  50кг. (К)/ (888) 9154100		шт	12.00	 	 	56.000	672.00
Миксер д/гипс. смесей   80*8*400мм   / оцинков, куб  (888)   1347080		шт	85.00	 	 	1.000	85.00
Миксер д/гипс. смесей  110*10*560мм  / оцинков, куб  (888)   1347100		шт	110.00	 	 	1.000	110.00
Миксер д/штук. смесей  110*10*600мм  / оцинк,  спираль, плоск (888)   1346100		шт	130.00	 	 	1.000	130.00
Миксер д/штукат. смесей 120*9*450мм  / оцинков, спираль, кругл (888)   1348120		шт	140.00	 	 	1.000	140.00
Молоток с квадрат.бойком  амортизир. фиберглас.ручка   400г   (888)  6816245		шт	150.00	 	 	1.000	150.00
Морилка Дуб  0,5л (НБХ)/24		шт	115.00	 	 	2.000	230.00
Морилка Дуб  0,5л (НБХ)/24		шт	120.00	 	 	2.000	240.00
Морилка Клен  0,5л (НБХ)/24		шт	110.00	 	 	1.000	110.00
Морилка Клен  0,5л (НБХ)/24		шт	115.00	 	 	1.000	115.00
Морилка Клен  0,5л (НБХ)/24		шт	120.00	 	 	1.000	120.00
Морилка Красное дерево  0,5л (НБХ)/24		шт	110.00	 	 	2.000	220.00
Морилка Лимон  0,5л (НБХ)/24		шт	110.00	 	 	2.000	220.00
Морилка Лиственница  0,5л (НБХ)/24		шт	110.00	 	 	2.000	220.00
Морилка Лиственница  0,5л (НБХ)/24		шт	115.00	 	 	1.000	115.00
Морилка Мокко  0,5л (НБХ)/24		шт	110.00	 	 	2.000	220.00
Морилка Мокко  0,5л (НБХ)/24		шт	115.00	 	 	1.000	115.00
Морилка Мокко  0,5л (НБХ)/24		шт	120.00	 	 	2.000	240.00
Морилка Орегон  0,5л (НБХ)/24		шт	110.00	 	 	2.000	220.00
Морилка Орегон  0,5л (НБХ)/24		шт	115.00	 	 	1.000	115.00
Морилка Орегон  0,5л (НБХ)/24		шт	120.00	 	 	2.000	240.00
Морилка Орех  0,5л (НБХ)/24		шт	110.00	 	 	2.000	220.00
Морилка Орех  0,5л (НБХ)/24		шт	115.00	 	 	1.000	115.00
Морилка Орех  0,5л (НБХ)/24		шт	120.00	 	 	2.000	240.00
Морилка Эбеновое дерево  0,5л (НБХ)/24		шт	110.00	 	 	2.000	220.00
Морилка Эбеновое дерево  0,5л (НБХ)/24		шт	115.00	 	 	2.000	230.00
Надфили алмазные Н-р 5шт  (3*140мм)  (888)   6081395		шт	150.00	 	 	1.000	150.00
Нашатырный спирт 0,25л (ВАЛДИ)УПАКОВКА 16шт		шт	27.00	 	 	11.000	297.00
Нашатырный спирт 0,5л (ВАЛДИ)  УПАКОВКА 16шт		шт	37.00	 	 	1.000	37.00
нефрас ( пл.флакон 1 л )		шт	97.00	 	 	3.000	291.00
Нож пистолет.широкий 18мм  Т4Р (Лакра) 2701001		шт	15.00	 	 	9.000	135.00
Нож пистолетный  9мм /рез-пласт.корп, мет.ведом, автофикс, автомат(3лезв)  (888)  306		шт	55.00	 	 	1.000	55.00
Нож пистолетный 18мм  /прорез.корп, мет.ведом, автофиксация, автом+3лезв  (888)  3065		шт	115.00	 	 	4.000	460.00
Нож пистолетный 18мм  /рез-пласт.корп, мет.ведом, автофикс.+винт, автомат(5лезв)  (88		шт	145.00	 	 	3.000	435.00
Нож пистолетный 25мм  Профи  /рез-пласт.корп, мет.ведом, автофикс.+винт, авт.5лезвий		шт	300.00	 	 	2.000	600.00
Обезжириватель  0,5л  ХИМИК		шт	75.00	 	 	5.000	375.00
Олифа Оксоль  0,5л (ОлифаХим)		шт	60.00	 	 	7.000	420.00
Олифа Оксоль  1,0л (ОлифаХим)		шт	106.00	 	 	3.000	318.00
Отвертка с насадками  5 сменных бит  обрезин.руч  (888)  6844100		шт	70.00	 	 	5.000	350.00
Отвертка Т-образная с насадками (20 бит и головок)   (888)  6844500		шт	130.00	 	 	4.000	520.00
Отвертка универс. 2в1  38мм  (SL6,3 - РН2)  СrV сталь, 6-гр.стержень, пласт.руч (888)		шт	50.00	 	 	10.000	500.00
Отвертка универс. 2в1 100мм (SL6,3 - РН2)  СrV сталь, 6-гр.стержень, 2-комп.руч (888)		шт	80.00	 	 	10.000	800.00
Очистит.монт.пистол. Оптима 500мл  БЕЗ АЦЕТОНА  (Н)		шт	135.00	 	 	1.000	135.00
Очки защитные   (888)  5074010		шт	82.00	 	 	1.000	82.00
Очки защитные Профи  (888)  5074050		шт	148.00	 	 	2.000	296.00
Паста универ. "ПалИж"  0,1л  № 1 лим-желтый		шт	33.00	 	 	4.000	132.00
Паста универ. "ПалИж"  0,1л  № 2 зол-желтый		шт	33.00	 	 	5.000	165.00
Паста универ. "ПалИж"  0,1л  № 3 бежевый		шт	33.00	 	 	9.000	297.00
Паста универ. "ПалИж"  0,1л  № 4 кофейный		шт	33.00	 	 	5.000	165.00
Паста универ. "ПалИж"  0,1л  № 5 палевый		шт	33.00	 	 	5.000	165.00
Паста универ. "ПалИж"  0,1л  № 6 апельсин		шт	33.00	 	 	10.000	330.00
Паста универ. "ПалИж"  0,1л  № 7 темно-красный		шт	33.00	 	 	6.000	198.00
Паста универ. "ПалИж"  0,1л  № 8 красно-кор.		шт	33.00	 	 	5.000	165.00
Паста универ. "ПалИж"  0,1л  № 9 светл-корич.		шт	33.00	 	 	18.000	594.00
Паста универ. "ПалИж"  0,1л  №10 яр-желтый		шт	33.00	 	 	8.000	264.00
Паста универ. "ПалИж"  0,1л  №11 желто-корич		шт	33.00	 	 	8.000	264.00
Паста универ. "ПалИж"  0,1л  №12 хаки		шт	33.00	 	 	6.000	198.00
Паста универ. "ПалИж"  0,1л  №14 фисташковая		шт	33.00	 	 	6.000	198.00
Паста универ. "ПалИж"  0,1л  №15 мор.волна		шт	33.00	 	 	11.000	363.00
Паста универ. "ПалИж"  0,1л  №16 изумруд		шт	33.00	 	 	7.000	231.00
Паста универ. "ПалИж"  0,1л  №17 синий		шт	33.00	 	 	7.000	231.00
Паста универ. "ПалИж"  0,1л  №18 черный		шт	33.00	 	 	2.000	66.00
Паста универ. "ПалИж"  0,1л  №19 розовый		шт	33.00	 	 	6.000	198.00
Паста универ. "ПалИж"  0,1л  №20 сиренев		шт	33.00	 	 	5.000	165.00
Паста универ. "ПалИж"  0,1л  №21 темно-корич.		шт	33.00	 	 	10.000	330.00
Паста универ. "ПалИж"  0,1л  №22 фиалка		шт	33.00	 	 	6.000	198.00
Паста универ. "ПалИж"  0,1л  №23 коралл		шт	33.00	 	 	6.000	198.00
Паста универ. "ПалИж"  0,1л  №24 ирис		шт	33.00	 	 	6.000	198.00
Паста универ. "ПалИж"  0,1л  №25 персик		шт	33.00	 	 	2.000	66.00
Паста универ. "ПалИж"  0,1л  №26 серо-голубой		шт	33.00	 	 	5.000	165.00
Паста универ. "ПалИж"  0,1л  №27 зеленый		шт	33.00	 	 	2.000	66.00
Паста универ. "ПалИж"  0,1л  №28 слива		шт	33.00	 	 	6.000	198.00
Паста универ. "ПалИж"  0,1л  №29 ультрамарин		шт	33.00	 	 	6.000	198.00
Паста универ. "ПалИж"  0,1л  №30 пурпурный		шт	33.00	 	 	6.000	198.00
